v1_freq,pin_sum,pout_sum,phase_avg
6000000000.0,2.3421472513682013e-22,9.660099869784601e-23,-3.1495288653868694
6100000000.0,2.298989807870265e-22,9.480911035383661e-23,-3.1495289873434986
6200000000.0,2.256713993750566e-22,9.305381951037764e-23,-3.1495289465901677
6300000000.0,2.215309013315636e-22,9.133468118084875e-23,-3.149528991332701
6400000000.0,2.174763663315634e-22,8.965122998327483e-23,-3.1495291110927526
6500000000.0,2.1350663435132215e-22,8.800298174024898e-23,-3.149529055293552
6600000000.0,2.0962043875572602e-22,8.638941254282674e-23,-3.1495290038797528
6700000000.0,2.0581647789815577e-22,8.4809983195603e-23,-3.149529038710784
6800000000.0,2.0209343217356805e-22,8.32641442539018e-23,-3.149529023291873
6900000000.0,1.984499341772729e-22,8.175132802992754e-23,-3.1495289500720114
7000000000.0,1.9488457327420547e-22,8.027095071910067e-23,-3.1495289874552483
7100000000.0,1.9139595393269052e-22,7.882243075139568e-23,-3.149528916456198
7200000000.0,1.879826177482609e-22,7.740516569738729e-23,-3.1495290428819476
7300000000.0,1.8464314745139817e-22,7.601856429012416e-23,-3.1495290708298156
7400000000.0,1.813760810537367e-22,7.466202105156842e-23,-3.149529152002379
7500000000.0,1.7817997944108498e-22,7.333493695764364e-23,-3.1495291177590303
7600000000.0,1.7505338656450838e-22,7.203670806649553e-23,-3.149529022105966
7700000000.0,1.7199483960159022e-22,7.076672918738109e-23,-3.1495290904425066
7800000000.0,1.69002913970699e-22,6.952440687263717e-23,-3.149529108036669
7900000000.0,1.6607617846864063e-22,6.830914709132914e-23,-3.1495290864955603
8000000000.0,1.632132150691861e-22,6.712036105035594e-23,-3.1495290084894885
8100000000.0,1.6041260515124002e-22,6.595746179110486e-23,-3.1495291107139907
8200000000.0,1.576729775144476e-22,6.481987759575317e-23,-3.1495291042202296
8300000000.0,1.5499295326398424e-22,6.370703698694552e-23,-3.1495291090464317
8400000000.0,1.523711776409837e-22,6.261837783531617e-23,-3.1495291596860713
8500000000.0,1.4980632610597696e-22,6.155334891684435e-23,-3.1495290910078824
8600000000.0,1.4729707612656793e-22,6.051140267714111e-23,-3.1495290915623504
8700000000.0,1.4484213666092692e-22,5.949200319632514e-23,-3.149529173968004
8800000000.0,1.4244024747128192e-22,5.849462592748746e-23,-3.149529163667209
8900000000.0,1.4009015863649732e-22,5.751875255329183e-23,-3.1495291404588523
9000000000.0,1.3779064565330107e-22,5.656387508831068e-23,-3.1495291521522724
9100000000.0,1.3554051001704394e-22,5.562949587391459e-23,-3.1495291925939766
9200000000.0,1.3333858266289295e-22,5.471512850772721e-23,-3.149529112372197
9300000000.0,1.311837050706229e-22,5.382029333951959e-23,-3.1495290965960443
9400000000.0,1.290747510118134e-22,5.294452272186458e-23,-3.1495291400517034
9500000000.0,1.2701062091259994e-22,5.2087359591528446e-23,-3.1495291595182406
9600000000.0,1.2499023472037687e-22,5.124835575552799e-23,-3.149529189983069
9700000000.0,1.2301254203487654e-22,5.042707438693719e-23,-3.149529112015209
9800000000.0,1.2107650523116703e-22,4.9623086004427016e-23,-3.1495291286156046
9900000000.0,1.1918112006039686e-22,4.8835973148552264e-23,-3.1495291627131463
10000000000.0,1.173254054756398e-22,4.806532797562956e-23,-3.1495291252847792
11000000000.0,1.0074978153610226e-22,4.118144343618203e-23,-3.149529295985604
12000000000.0,8.722041140463348e-23,3.556207961846174e-23,-3.1495291291289074
13000000000.0,7.608441009677085e-23,3.093617936381055e-23,-3.1495290755274836
14000000000.0,6.684001321051983e-23,2.7095423362652546e-23,-3.1495291856157888
15000000000.0,5.910166667637783e-23,2.387973838194187e-23,-3.149529224377621
16000000000.0,5.2572001054013225e-23,2.116566423822143e-23,-3.1495292249693443
17000000000.0,4.702030420073733e-23,1.8857415104412366e-23,-3.149529208183683
18000000000.0,4.226630899070189e-23,1.6880148652606556e-23,-3.1495291716253075
19000000000.0,3.816808543149126e-23,1.5174939588917762e-23,-3.1495292198573166
20000000000.0,3.461301223023267e-23,1.3695030465863728e-23,-3.1495291651798922
